"RBD","COM_NOMBRE","ESTABLECIMIENTO","GRUPO_DEPENDENCIA","PROMEDIO_ESTABLECIMIENTO","LATITUD","LONGITUD"
768,"OVALLE","COLEGIO LA PROVIDENCIA","Particular subvencionado",526.9,-30.603609,-71.196198
769,"OVALLE","COLEGIO SAN VIATOR","Particular subvencionado",675,-30.60083,-71.192291
770,"OVALLE","COLEGIO AMALIA ERRAZURIZ","Particular pagado",754.9,-30.611938,-71.21721
772,"OVALLE","LICEO AGRICOLA DE OVALLE TADEO PERRY BARN","Municipal",501.8,-30.579281,-71.188026
774,"RIO HURTADO","COLEGIO PICHASCA","Municipal",561.6,-30.394211,-70.871132
799,"MONTE PATRIA","COLEGIO REPUBLICA DE CHILE","Municipal",499.1,-30.69042,-70.955521
802,"MONTE PATRIA","LICEO BICENTENARIO DE EXCELENCIA LICEO PRESIDENTE
EDUARDO FREI MONTALVA","Municipal",513.3,-30.69718,-70.958809
845,"COMBARBALA","LICEO BICENTENARIO DE EXCELENCIA LICEO SAMUEL ROMAN
ROJAS","Municipal",564.1,-31.178221,-71.000359
964,"ILLAPEL","ESCUELA BASICA MUNICIPAL DE ADULTOS","Municipal",480.9,-31.63533974,-71.17329407
967,"ILLAPEL","LICEO BICENTENARIO DE EXCELENCIA LICEO DOMINGO ORTIZ DE
ROZAS","Municipal",551.1,-31.63438,-71.168388
968,"ILLAPEL","LICEO POLITECNICO PABLO RODRIGUEZ CAVIEDES","Municipal",494.7,-31.641211,-71.178261
982,"ILLAPEL","ESCUELA BASICA VILLA LOS NARANJOS","Municipal",516.5,-31.642031,-71.191742
987,"ILLAPEL","COLEGIO SANTA TERESA","Particular subvencionado",592.1,-31.634621,-71.168968
988,"ILLAPEL","LICEO PARTICULAR LUIS ALBERTO VERA","Particular subvencionado",524.6,-31.62764,-71.158768
1013,"SALAMANCA","LICEO DE SALAMANCA","Municipal",531.6,-31.77644,-70.965553
1036,"SALAMANCA","COLEGIO PARTICULAR SAN FRANCISCO DE ASIS","Particular subvencionado",576.3,-31.78203,-70.965363
1048,"LOS VILOS","LICEO NICOLAS FEDERICO LOHSE VARGAS","Municipal",538.5,-31.912109,-71.514923
11103,"COQUIMBO","COLEGIO LOS CARRERA","Particular pagado",694.7,-29.96313267,-71.33971086
11105,"COQUIMBO","LICEO BICENTENARIO DE EXCELENCIA COLEGIO PARTICULAR
MIGUEL DE CERVANTES","Particular subvencionado",610.5,-29.96208,-71.24765
11106,"OVALLE","COLEGIO PARTICULAR SANTA MARIA","Particular subvencionado",666.9,-30.606621,-71.200279
11107,"OVALLE","COLEGIO PART.SANTA TERESA DE JESUS","Particular pagado",604.4,-30.60459544,-71.20488769
11110,"RIO HURTADO","LICEO JORGE IRIBARREN CHARLIN DE HURTADO","Municipal",526.2,-30.277651,-70.670609
11111,"PUNITAQUI","LICEO ALBERTO GALLARDO LORCA","Municipal",505.5,-30.833229,-71.25489
11130,"ILLAPEL","COLEGIO SAN IGNACIO DE LOYOLA","Particular subvencionado",612.6,-31.64537,-71.187202
11133,"COQUIMBO","COLEGIO PARTICULAR SAN GABRIEL","Particular subvencionado",580.1,-29.962021,-71.339333
11136,"OVALLE","COLEGIO SAN ALBERTO HURTADO CRUCHAGA","Municipal",461.3,-30.604742,-71.19418
11139,"COQUIMBO","LICEO FERNANDO BINVIGNAT MARIN","Servicio Local de Educación",525.9,-29.963869,-71.254288
11144,"COQUIMBO","ESCUELA DIEGO DE ALMEYDA","Particular subvencionado",593.1,-29.95982,-71.250908
11145,"COQUIMBO","COLEGIO PARTICULAR CALASANZ","Particular subvencionado",620.5,-29.966249,-71.256844
11155,"LA SERENA","LICEO JORGE ALESSANDRI RODRIGUEZ","Municipal",560.3,-29.88699,-71.231667
11157,"LA SERENA","COLEGIO LIBERTADOR SIMON BOLIVAR","Particular subvencionado",585.9,-29.91498,-71.253479
12779,"LA SERENA","COLEGIO ALTOS DEL CERRO GRANDE","Particular subvencionado",570.9,-29.94993,-71.232826
12781,"LA SERENA","AMAZING GRACE ENGLISH SCHOOL","Particular pagado",658.1,-29.89899,-71.26381
13300,"LA SERENA","COLEGIO ALEMAN","Particular pagado",770.8,-29.952143,-71.22835
13305,"LA SERENA","COLEGIO TRINITY","Particular subvencionado",556.9,-29.947689,-71.242233
13313,"COQUIMBO","COLEGIO FRANCIS SCHOOL","Particular subvencionado",622,-29.977051,-71.34169
13314,"COQUIMBO","COLEGIO CRISTOBAL COLON","Particular subvencionado",581.4,-29.99188,-71.330429
13319,"LA SERENA","SCUOLA ITALIANA ALCIDE DE GASPERI","Particular pagado",775.2,-29.934664,-71.26618
13324,"COQUIMBO","COLEGIO SANTA MARIA DE BELEN N_ 162","Particular subvencionado",608.9,-29.98431,-71.34539
13330,"LA SERENA","COLEGIO PARTICULAR PIERROT","Particular subvencionado",521.2,-29.906549,-71.252274
13332,"COQUIMBO","COLEGIO SAINT MARY SCHOOL","Particular pagado",692.9,-29.98781012,-71.34183347
13333,"LA SERENA","ESC. FAMILIAR AGRICOLA VALLE DEL ELQUI","Particular subvencionado",513.2,-29.980049,-71.081032
13341,"COQUIMBO","COLEGIO PART. KOMVUX - COQUIMBO","Particular subvencionado",547.5,-29.983101,-71.334297
13344,"LA SERENA","COLEGIO AMERICANO","Particular subvencionado",554.3,-29.87195,-71.244476
13352,"CANELA","LICEO POLIV.PADRE JOSE HERDE P-LHER","Municipal",549.9,-31.38916,-71.41494
13356,"LA SERENA","COLEGIO ALBERT EINSTEIN","Particular subvencionado",662.8,-29.92857,-71.256752
13360,"LA SERENA","COLEGIO SAN NICOLAS","Particular subvencionado",623.3,-29.92458,-71.248871
13361,"COQUIMBO","KID´S WORLD SCHOOL","Particular subvencionado",576.1,-29.964211,-71.342949
13370,"COQUIMBO","COLEGIO DEL ALBA","Particular pagado",670,-29.95225595,-71.26876285
13372,"LA SERENA","COLEGIO FRANCISCO PALAU","Particular subvencionado",671.7,-29.94511,-71.261543
13373,"COQUIMBO","COLEGIO PARTICULAR LEONARDO DA VINCI","Particular subvencionado",619,-29.95256,-71.270157
13383,"SALAMANCA","COLEGIO CAMBRIDGE SCHOOL","Particular subvencionado",518.1,-31.774059,-70.965973
